,EP,STA,COMP,fq,fq_prob,width,S,S_r1,S_r2,S_r,N_T,R,R_r1,R_r2,R_r,N_R,cp,cl,H,H_r1,H_r2,H_r,N_H,V,V_r1,V_r2,V_r,N_V,N_L
86,EP1,NAN4,HHN,1.3027871622,1.2140950062,0.0404434399,-141.8107306379,-154.4242990834,-137.3434251468,17.0808739366,4110,0.6733466934,0.5731462926,0.7655310621,0.1923847695,183.0,0.044525547400000004,0.3442622951,120.120240481,115.4308617234,126.25250501,10.8216432866,68.0,59.6993987976,53.0260521042,66.1923847695,13.1663326653,58.0,63.0
87,EP1,NAN4,HHN,1.3661317568,1.0487793056,0.012931130400000001,-142.3499816405,-158.1806211911,-135.2850681221,22.895553069,1463,0.9298597194,0.5050100200000001,1.0,0.49498998,18.0,0.012303486,0.3888888889,117.9559118236,117.2344689379,119.0380761523,1.8036072144,8.0,4.869739479,0.0,13.3466933868,13.3466933868,6.0,7.0
88,EP1,NAN4,HHN,1.4334353885,1.4312718819,0.024281420300000002,-141.7858582155,-156.4952056671,-132.8167439157,23.6784617514,3111,0.7575150301,0.6553106212,0.879759519,0.22444889780000002,158.0,0.0507875281,0.832278481,107.8557114228,98.8376753507,116.873747495,18.0360721443,133.0,49.7795591182,41.4829659319,58.2565130261,16.7735470942,130.0,131.5
89,EP1,NAN4,HHN,1.5244932432,0.9748404779000001,0.0116923596,-143.759972062,-156.9437830434,-139.0220399906,17.9217430528,1365,0.9078156313,0.8016032064,0.9939879760000001,0.1923847696,10.0,0.0073260073,0.85,118.6773547094,115.0701402806,121.5631262525,6.4929859719,9.0,7.755511022,0.7214428858,59.3386773547,58.6172344689,8.0,8.5
90,EP1,NAN4,HHN,1.7105679899,1.2275763654,0.0252401657,-145.1067003392,-157.3457999373,-140.8496222181,16.4961777192,2533,0.9418837675,0.8657314629,1.0,0.1342685371,42.0,0.0165811291,0.45238095240000004,118.6773547094,116.5130260521,120.4809619238,3.9679358717,23.0,4.5090180361000005,1.0821643287,8.6573146293,7.5751503006,15.0,19.0
91,EP1,NAN4,HHN,1.8491342904999999,0.1810319041,0.019209961600000002,-147.2937804931,-151.8204730384,-143.3102910533,8.510181985100001,315,0.9519038076,0.8196392786000001,1.0,0.1803607214,9.0,0.0285714286,0.8333333333,118.3166332665,116.1523046092,120.4809619238,4.3286573146,8.0,4.3286573146,3.0661322645,6.8537074148,3.7875751503,7.0,7.5
92,EP1,NAN4,HHN,1.9124788851,0.1771545642,0.014677457100000001,-149.0518906924,-162.3816071474,-141.7495242866,20.6320828608,256,0.9519038076,0.9398797595,0.9659318637000001,0.026052104200000002,8.0,0.03125,,,,,,,,,,,,
93,EP1,NAN4,HHN,2.1500211149,1.0453586701,0.046714792500000005,-144.7984612413,-158.4970224262,-140.2039127694,18.2931096568,3503,0.9478957916,0.9198396794,0.9719438878000001,0.052104208400000004,123.0,0.0351127605,0.8617886179,118.3166332665,116.873747495,119.7595190381,2.8857715431,122.0,5.0501002004,1.623246493,29.9398797595,28.3166332665,90.0,106.0
94,EP1,NAN4,HHN,2.300464527,0.32165719130000003,0.008217234,-147.0696521828,-157.4573181703,-143.1211241758,14.3361939945,313,0.9659318637000001,0.9238476954,0.9799599198000001,0.0561122244,9.0,0.0287539936,0.8333333333,119.3987975952,116.5130260521,121.9238476954,5.4108216433,9.0,5.2304609218,0.3607214429,11.002004008,10.6412825651,6.0,7.5
95,EP1,NAN4,HHN,2.347972973,0.33593964470000004,0.0224860011,-147.0012399066,-151.6497484104,-142.9809082276,8.6688401828,625,0.9599198397,0.8877755511000001,1.0,0.11222444890000001,10.0,0.016,0.65,119.7595190381,118.3166332665,120.8416833667,2.5250501002,7.0,3.9679358717,1.4428857715,6.1322645291,4.6893787576,6.0,6.5
96,EP1,NAN4,HHN,2.4429898649,0.16139368110000002,0.0123868523,-147.8691786649,-152.8195728921,-143.61357661,9.2059962821,229,,,,,,,,,,,,,,,,,,
97,EP1,NAN4,HHN,2.5142525338,0.20691176760000002,0.0131966131,-147.0107057376,-160.0841417638,-142.8959589406,17.188182823200002,202,,,,,,,,,,,,,,,,,,
98,EP1,NAN4,HHN,2.6092694257,0.38481950800000003,0.0357882016,-146.9385161314,-159.134095492,-142.9326688961,16.2014265959,1107,0.9438877756,0.29258517030000003,1.0,0.7074148297,19.0,0.017163505000000003,0.3421052632,119.3987975952,115.7915831663,122.2845691383,6.492985972,7.0,6.3126252505,4.869739479,7.755511022,2.885771543,6.0,6.5
99,EP1,NAN4,HHE,1.0414027309,1.0922618053,0.0232558845,-145.8803298736,-157.7966811308,-139.7980255861,17.9986555447,2673,0.9418837675,0.9178356713,0.9679358717000001,0.0501002004,18.0,0.0067340067000000005,0.8611111111,119.0380761523,116.5130260521,120.8416833667,4.3286573146,18.0,3.7875751503,2.7054108216,4.869739479,2.1643286574,13.0,15.5
100,EP1,NAN4,HHE,1.1006416573,1.1484651677,0.0156305398,-144.6542683145,-156.0895899771,-138.8841518792,17.2054380979,1858,0.9298597194,0.8557114228,1.0,0.14428857720000002,6.0,0.0032292788,,,,,,,,,,,,
101,EP1,NAN4,HHE,1.1638298455,1.1143965977999999,0.0149695229,-146.2802405959,-158.588272798,-138.7462330056,19.8420397924,1812,0.7755511022,0.6553106212,0.8997995992000001,0.24448897800000002,22.0,0.012141280400000001,0.7727272727000001,151.503006012,135.6312625251,171.7034068136,36.0721442885,17.0,70.8817635271,62.2244488978,79.3587174349,17.1342685371,17.0,17.0
102,EP1,NAN4,HHE,1.2507136042,1.0834202314999999,0.017761487200000002,-145.5957442993,-157.4944794833,-141.1133440587,16.3811354246,1770,0.6653306613000001,0.5691382766,0.7575150301,0.1883767535,139.0,0.0785310734,0.2661870504,122.6452905812,116.1523046092,130.9418837675,14.7895791583,38.0,64.0280561122,55.1903807615,72.8657314629,17.6753507014,36.0,37.0
103,EP1,NAN4,HHE,1.3060032689,0.9920430555,0.0130364628,-146.0369320489,-158.4999521596,-141.2531465519,17.2468056077,1618,0.7054108216,0.6653306613000001,0.7234468938,0.058116232500000004,49.0,0.0302843016,0.387755102,123.7274549098,117.2344689379,125.1703406814,7.9358717435,21.0,55.370741483,51.2224448898,60.7815631263,9.5591182365,17.0,19.0
104,EP1,NAN4,HHE,1.3731407188,1.0006482266,0.0109150605,-145.6840716039,-158.8458422277,-141.1618222101,17.684020017599998,1150,0.9338677355,0.8557114228,1.0,0.14428857720000002,16.0,0.0139130435,0.59375,118.6773547094,114.7094188377,122.2845691383,7.5751503006,11.0,5.5911823647,0.0,14.0681362725,14.0681362725,8.0,9.5
105,EP1,NAN4,HHE,1.42053186,1.1542374681,0.0165330778,-145.2626571502,-158.3693796284,-140.6447445673,17.7246350611,2358,0.7354709419000001,0.6412825651,0.8356713427,0.1943887776,95.0,0.04028838,0.7315789474000001,109.2985971944,98.8376753507,120.8416833667,22.004008016,72.0,50.1402805611,41.4829659319,58.6172344689,17.134268537,67.0,69.5
106,EP1,NAN4,HHE,1.4916185717000001,0.779562441,0.0129836311,-147.2537238631,-159.7407796856,-142.4319894366,17.308790249,1268,0.7715430862,0.6713426854,0.9098196393,0.2384769539,43.0,0.0339116719,0.8837209302000001,102.0841683367,92.7054108216,111.8236472946,19.118236473,38.0,53.3867735471,44.1883767535,63.126252505,18.937875751500002,38.0,38.0
107,EP1,NAN4,HHE,1.5785023305,0.7351176912,0.025073526000000002,-148.4047030218,-161.1432850442,-144.0371891855,17.1060958587,1871,0.9358717435,0.9178356713,0.9539078156,0.036072144300000004,9.0,0.0048102619000000004,0.8333333333,120.120240481,116.873747495,122.6452905812,5.7715430862,9.0,9.0180360721,2.1643286573,10.6412825651,8.4769539078,6.0,7.5
108,EP1,NAN4,HHE,1.6495890422000001,0.4011712432,0.011045324300000001,-149.0004676406,-160.5756584886,-144.9431842506,15.632474238,662,,,,,,,,,,,,,,,,,,
